ingr_id,ingr_name
0,Вода (или бульон)
1,Свекла
2,Фасоль
3,Капуста белокочанная
4,Лук репчатый
5,Морковь
6,Картофель
7,Корень сельдерея
8,Корень петрушки
9,Чернослив
10,Томатная паста
11,Перец черный молотый
12,Соль
13,Перец сладкий
14,Сахар
15,Лавровый лист
16,Зелень
17,Растительное масло
18,"Мясо говядины (филейная часть, кострец)"
19,Лук репчатый крупный
20,Мука
21,Сметана
22,Масло растительное
23,Зелень укропа
