id_recipe,qty_string,unit,qty,id_ingr,id
448,1 чайная ложка,4,1.0,116,3930
448,360 мл,7,360.0,341,3931
448,3 г,0,3.0,144,3932
448,1 столовая ложка,2,1.0,6,3933
449,350 г,0,350.0,351,3934
449,400 г,0,400.0,109,3935
449,200 г,0,200.0,67,3936
449,5 штук,1,5.0,1,3937
449,1 пучок,10,1.0,20,3938
449,1 пучок,10,1.0,194,3939
449,1 пучок,10,1.0,45,3940
449,по вкусу,6,0.0,21,3941
449,125 г,0,125.0,66,3942
450,"1,5 кг",14,1.5,588,3943
450,2 штуки,1,2.0,14,3944
450,3 головки,8,3.0,51,3945
450,3 зубчика,5,3.0,17,3946
450,500 г,0,500.0,82,3947
450,1 чайная ложка,4,1.0,21,3948
450,4 столовые ложки,2,4.0,6,3949
450,по вкусу,6,0.0,22,3950
451,1 кг,14,1.0,445,3951
451,200 г,0,200.0,356,3952
451,4 головки,8,4.0,51,3953
451,300 мл,7,300.0,6,3954
451,2 головки,8,2.0,17,3955
451,1 кг,14,1.0,14,3956
451,2 штуки,1,2.0,235,3957
451,1 столовая ложка,2,1.0,257,3958
451,1 чайная ложка,4,1.0,438,3959
451,по вкусу,6,0.0,21,3960
451,1 столовая ложка,2,1.0,589,3961
452,2 штуки,1,2.0,137,3962
452,3 штуки,1,3.0,40,3963
452,1 штука,1,1.0,14,3964
452,1 штука,1,1.0,51,3965
452,250 г,0,250.0,82,3966
452,4 зубчика,5,4.0,17,3967
452,1 пучок,10,1.0,194,3968
452,60 мл,7,60.0,6,3969
452,50 г,0,50.0,2,3970
452,по вкусу,6,0.0,21,3971
452,по вкусу,6,0.0,22,3972
453,1 штука,1,1.0,549,3973
453,100 г,0,100.0,590,3974
453,16 штук,1,16.0,71,3975
453,8 штук,1,8.0,548,3976
453,15 г,0,15.0,45,3977
453,1 столовая ложка,2,1.0,77,3978
453,4 столовые ложки,2,4.0,13,3979
453,по вкусу,6,0.0,21,3980
453,по вкусу,6,0.0,22,3981
454,2 столовые ложки,2,2.0,2,3982
454,200 г,0,200.0,108,3983
454,35 мл,7,35.0,178,3984
454,2 чайные ложки,4,2.0,427,3985
454,20 мл,7,20.0,13,3986
454,½ кг,14,0.5,591,3987
454,½ штуки,1,0.5,167,3988
454,½ штуки,1,0.5,166,3989
454,½ штуки,1,0.5,14,3990
454,3 стебля,15,3.0,144,3991
454,15 г,0,15.0,32,3992
454,1 штука,1,1.0,525,3993
454,10 г,0,10.0,25,3994
454,½ зубчика,5,0.5,17,3995
454,5 г,0,5.0,135,3996
454,1 чайная ложка,4,1.0,350,3997
455,200 г,0,200.0,163,3998
455,600 г,0,600.0,592,3999
455,230 г,0,230.0,3,4000
455,"1,5 столовых ложек",2,1.5,2,4001
455,240 мл,7,240.0,70,4002
455,1 штука,1,1.0,128,4003
455,3 штуки,1,3.0,1,4004
455,8 г,0,8.0,593,4005
455,30 г,0,30.0,15,4006
455,150 г,0,150.0,594,4007
455,1 штука,1,1.0,400,4008
456,5 штук,1,5.0,90,4009
456,½ штуки,1,0.5,110,4010
456,1 штука,1,1.0,1,4011
456,2 столовые ложки,2,2.0,2,4012
456,по вкусу,6,0.0,22,4013
456,по вкусу,6,0.0,21,4014
456,по вкусу,6,0.0,6,4015
457,1 кг,14,1.0,90,4016
457,250 г,0,250.0,82,4017
457,3 столовые ложки,2,3.0,2,4018
457,6 штук,1,6.0,1,4019
457,250 мл,7,250.0,28,4020
457,2 столовые ложки,2,2.0,80,4021
457,по вкусу,6,0.0,21,4022
457,по вкусу,6,0.0,22,4023
458,50 г,0,50.0,251,4024
458,500 г,0,500.0,367,4025
458,3 головки,8,3.0,51,4026
458,2 штуки,1,2.0,14,4027
458,1 столовая ложка,2,1.0,64,4028
458,1 чайная ложка,4,1.0,3,4029
458,3 стебля,15,3.0,48,4030
458,5 стеблей,15,5.0,45,4031
458,20 г,0,20.0,194,4032
458,200 г,0,200.0,82,4033
458,3 зубчика,5,3.0,17,4034
458,200 г,0,200.0,89,4035
458,50 г,0,50.0,15,4036
458,50 мл,7,50.0,4,4037
458,по вкусу,6,0.0,21,4038
458,по вкусу,6,0.0,22,4039
459,750 г,0,750.0,8,4040
459,5 столовых ложек,2,5.0,178,4041
459,10 зубчиков,5,10.0,17,4042
459,250 г,0,250.0,184,4043
459,150 г,0,150.0,65,4044
459,по вкусу,6,0.0,21,4045
459,по вкусу,6,0.0,43,4046
460,500 г,0,500.0,402,4047
460,2 банки,13,2.0,440,4048
460,500 г,0,500.0,595,4049
460,300 мл,7,300.0,114,4050
460,2 столовые ложки,2,2.0,13,4051
